Date,Open,High,Low,Close,MA50,MA200
3/8/2021,3844.39 ,3881.06 ,3819.25 ,3821.35 ,3824.67 ,3475.78 
3/9/2021,3851.93 ,3903.76 ,3851.93 ,3875.44 ,3828.38 ,3480.41 
3/10/2021,3891.99 ,3917.35 ,3885.73 ,3898.81 ,3832.30 ,3485.13 
3/11/2021,3915.54 ,3960.27 ,3915.54 ,3939.34 ,3836.38 ,3489.87 
3/12/2021,3924.52 ,3944.99 ,3915.21 ,3943.34 ,3840.70 ,3494.41 
3/15/2021,3942.96 ,3970.08 ,3923.54 ,3968.94 ,3845.44 ,3499.10 
3/16/2021,3973.59 ,3981.04 ,3953.44 ,3962.71 ,3849.57 ,3503.69 
3/17/2021,3949.57 ,3983.87 ,3935.74 ,3974.12 ,3855.04 ,3508.29 
3/18/2021,3953.50 ,3969.62 ,3910.86 ,3915.46 ,3858.81 ,3512.46 
3/19/2021,3913.14 ,3930.12 ,3886.75 ,3913.10 ,3862.11 ,3516.41 
3/22/2021,3916.48 ,3955.31 ,3914.16 ,3940.59 ,3864.85 ,3520.55 
3/23/2021,3937.60 ,3949.13 ,3901.57 ,3910.52 ,3866.57 ,3524.13 
3/24/2021,3919.93 ,3942.08 ,3889.07 ,3889.14 ,3868.36 ,3527.42 
3/25/2021,3879.34 ,3919.54 ,3853.50 ,3909.52 ,3870.52 ,3530.93 
3/26/2021,3917.12 ,3978.19 ,3917.12 ,3974.54 ,3873.82 ,3534.85 
3/29/2021,3969.31 ,3981.83 ,3943.25 ,3971.09 ,3877.33 ,3539.70 
3/30/2021,3963.34 ,3968.01 ,3944.35 ,3958.55 ,3881.13 ,3544.28 
3/31/2021,3967.25 ,3994.41 ,3966.98 ,3972.89 ,3884.61 ,3548.81 
4/1/2021,3992.78 ,4020.63 ,3992.78 ,4019.87 ,3887.97 ,3553.29 
4/5/2021,4034.44 ,4083.42 ,4034.44 ,4077.91 ,3892.47 ,3558.11 
4/6/2021,4075.57 ,4086.23 ,4068.14 ,4073.94 ,3897.12 ,3562.90 
4/7/2021,4074.29 ,4083.13 ,4068.31 ,4079.95 ,3901.61 ,3567.82 
4/8/2021,4089.95 ,4098.19 ,4082.54 ,4097.17 ,3906.56 ,3572.71 
4/9/2021,4096.11 ,4129.48 ,4095.51 ,4128.80 ,3914.12 ,3577.70 
4/12/2021,4124.71 ,4131.76 ,4114.82 ,4127.99 ,3920.94 ,3583.09 
4/13/2021,4130.10 ,4148.00 ,4124.43 ,4141.59 ,3929.48 ,3588.38 
4/14/2021,4141.58 ,4151.69 ,4120.87 ,4124.66 ,3936.50 ,3593.96 
4/15/2021,4139.76 ,4173.49 ,4139.76 ,4170.42 ,3943.38 ,3599.54 
4/16/2021,4174.14 ,4191.31 ,4170.75 ,4185.47 ,3950.49 ,3604.97 
4/19/2021,4179.80 ,4180.81 ,4150.47 ,4163.26 ,3956.32 ,3610.20 
4/20/2021,4159.18 ,4159.18 ,4118.38 ,4134.94 ,3961.28 ,3615.23 
4/21/2021,4128.42 ,4175.02 ,4126.35 ,4173.42 ,3966.44 ,3620.20 
4/22/2021,4170.46 ,4179.57 ,4123.69 ,4134.98 ,3970.91 ,3625.15 
4/23/2021,4138.78 ,4194.17 ,4138.78 ,4180.17 ,3976.32 ,3630.20 
4/26/2021,4185.03 ,4194.19 ,4182.36 ,4187.62 ,3981.74 ,3635.37 
4/27/2021,4188.25 ,4193.35 ,4176.22 ,4186.72 ,3986.78 ,3640.38 
4/28/2021,4185.14 ,4201.53 ,4181.78 ,4183.18 ,3991.79 ,3645.52 
4/29/2021,4206.14 ,4218.78 ,4176.81 ,4211.47 ,3997.39 ,3650.59 
4/30/2021,4198.10 ,4198.10 ,4174.85 ,4181.17 ,4002.74 ,3655.37 
5/3/2021,4191.98 ,4209.39 ,4188.03 ,4192.66 ,4008.46 ,3660.25 
5/4/2021,4179.04 ,4179.04 ,4128.59 ,4164.66 ,4014.22 ,3664.95 
5/5/2021,4177.06 ,4187.72 ,4160.94 ,4167.59 ,4019.94 ,3669.53 
5/6/2021,4169.14 ,4202.70 ,4147.33 ,4201.62 ,4025.47 ,3674.25 
5/7/2021,4210.34 ,4238.04 ,4201.64 ,4232.60 ,4033.53 ,3679.03 
5/10/2021,4228.29 ,4236.39 ,4188.13 ,4188.43 ,4041.08 ,3683.80 
5/11/2021,4150.34 ,4162.04 ,4111.53 ,4152.10 ,4046.08 ,3688.48 
